training_iteration,timesteps_total,timesteps_this_iter,episodes_total,episodes_this_iter,episode_len_mean,episode_reward_mean,episode_reward_min,episode_reward_max,success_mean,success_phase1_mean,success_qtr_mean,full_success_mean,phase2_started_mean,nav_hits_mean_mean,nav_hits_r0_mean,nav_hits_r1_mean,dual_stagnation_steps_mean,entropy,policy_loss,vf_loss,vf_explained_var,kl,cur_kl_coeff,entropy_coeff_used,iter_time_s,wall_time_s_total
18,117245,6418,199,11,590.05,890.1727554700042,-276.2330977624672,2731.1945396968813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7198732692368175,-0.0023569585560649937,1.7574997498064624,0.10710611185249017,0.019167119173638444,0.01,0.018274497720251866,160.61642177798785,2979.7744404412806
19,123408,6163,209,10,601.23,886.7235205451128,-276.2330977624672,2731.1945396968813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9464680343866347,-0.001296939739647011,1.613163670897484,0.24858749235669772,0.01061578377624162,0.01,0.018183125231650606,155.9222914071288,3135.6967318484094
20,129731,6323,221,12,594.44,845.8862104989233,-276.2330977624672,2731.1945396968813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.013139266490937,-0.0023451690622605386,1.69753449344635,0.16908431899547577,0.01809740866952068,0.01,0.018092209605492352,161.0605690521188,3296.757300900528
21,136585,6854,233,12,590.74,881.5553068565496,-276.2330977624672,2633.5373619017446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2757417674248037,-0.002691897851540349,1.8676033723812837,0.0008849707933572623,0.0147321762078999,0.009999999999999998,0.01800174855746489,170.62818220700137,3467.3854831075296
22,143019,6434,244,11,589.1,933.7198372953878,-276.2330977624672,2633.5373619017446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8358633839354224,-0.0024677257887467893,1.7836620503542375,0.17592298497959058,0.017410461332563607,0.01,0.017911739814677568,159.00585903902538,3626.391342146555
23,149539,6520,255,11,586.95,957.8472971748198,-276.2330977624672,2633.5373619017446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.687371597766876,-0.00284354451764375,1.8261879363059998,0.03208897852897644,0.015768645445248836,0.01,0.01782218111560418,162.6666060909629,3789.057948237518
24,155888,6349,266,11,584.91,1010.6922554425727,-276.2330977624672,2633.5373619017446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.016637054268195,-0.00462945958561435,1.7281543040762142,0.1295156150448079,0.015536720980956915,0.01,0.017733070210026156,160.64690594607964,3949.7048541835975
25,162381,6493,277,11,581.49,970.0172332000907,-276.2330977624672,2633.5373619017446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.725010261730272,-0.0025205700390387746,1.752385468872226,0.2963786317377674,0.01870838303577943,0.01,0.017644404858976025,162.25727584701963,4111.962130030617
26,168882,6501,288,11,580.55,954.7968751236862,-252.81771475666045,2633.5373619017446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.926700575153033,-0.0036892236232233698,1.6691266032556693,0.2458491093168656,0.016873747069530768,0.01,0.017556182834681144,158.6369156620931,4270.59904569271
27,175061,6179,298,10,584.4,1000.2138703011909,-252.81771475666045,2633.5373619017446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7101370414098103,-0.0022587845929794843,1.853598226176368,0.05440248794025845,0.014965521505970998,0.01,0.017468401920507737,153.36256134300493,4423.961607035715
